what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607277274
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1320607301418
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607396956
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607419135
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607442813
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607444155
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607454945
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607456218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607459263
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607461133
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607466153
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607476511
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1320607479870
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1320607498024
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607499084
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607505283
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607515497
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607612302
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607617248
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607618947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607619556
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607620588
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607621081
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607628448
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1320607632085
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320607637058
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607652467
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607655552
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607664652
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607665627
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1320607668576
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607673039
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607675241
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607676315
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607697517
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1320607700887
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1320607704545
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1320607704967
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607706123
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607706234
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1320607706295
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.nextEditor",1320607706296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1320607707600
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1320607718810
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607721358
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607721964
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320607723388
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320607726519
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1320607728456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607730011
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607735655
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607744456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607781581
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607812042
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607835445
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1320607836943
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607853152
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607861071
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607875665
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607876897
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1320607884336
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607890906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320607892107
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320607900645
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1320607908444
